"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|IT-North","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-LU","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BE","BZN|FR","975.33"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CH","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ES","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|IT-North","1021.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|DE-LU","1206.56"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|GB(IFA)","794.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|BE","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|CH","1809.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|ES","2658.79"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|GB","1821.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|GB(ElecLink)","1023.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","BZN|GB(IFA2)","4.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GB","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
