"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|DE-LU","Sequence 1","0.1","",""
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|DE-LU","Sequence 2","39.91","",""
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|DE-LU","Sequence 1","0.1","",""
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|DE-LU","Sequence 2","-0.04","",""
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|DE-LU","Sequence 1","0.1","",""
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|DE-LU","Sequence 2","-9.01","",""
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|DE-LU","Sequence 1","0.1","",""
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|DE-LU","Sequence 2","-29.91","",""
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|DE-LU","Sequence 1","0.01","",""
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|DE-LU","Sequence 2","25.28","",""
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|DE-LU","Sequence 1","0.01","",""
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|DE-LU","Sequence 2","-24.91","",""
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|DE-LU","Sequence 1","0.01","",""
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|DE-LU","Sequence 2","-0.07","",""
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|DE-LU","Sequence 1","0.01","",""
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|DE-LU","Sequence 2","-0.08","",""
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|DE-LU","Sequence 2","-0.05","",""
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|DE-LU","Sequence 2","-0.06","",""
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|DE-LU","Sequence 2","-0.04","",""
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|DE-LU","Sequence 1","0.0","",""
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|DE-LU","Sequence 2","-0.42","",""
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|DE-LU","Sequence 1","-0.01","",""
