"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BE","Without sequence","0.1","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BE","Without sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BE","Without sequence","0.0","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BE","Without sequence","-0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BE","Without sequence","-0.03","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|BE","Without sequence","-0.02","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|BE","Without sequence","-0.05","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|BE","Without sequence","-0.02","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|BE","Without sequence","0.0","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|BE","Without sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|BE","Without sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|BE","Without sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|BE","Without sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|BE","Without sequence","2.0","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|BE","Without sequence","1.35","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|BE","Without sequence","4.13","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|BE","Without sequence","27.96","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|BE","Without sequence","50.37","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|BE","Without sequence","53.76","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|BE","Without sequence","56.77","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|BE","Without sequence","51.4","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|BE","Without sequence","35.39","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|BE","Without sequence","40.74","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|BE","Without sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|BE","Without sequence","23.92","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|BE","Without sequence","17.7","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|BE","Without sequence","12.39","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|BE","Without sequence","7.35","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|BE","Without sequence","4.19","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|BE","Without sequence","4.75","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|BE","Without sequence","31.59","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|BE","Without sequence","49.96","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|BE","Without sequence","58.46","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|BE","Without sequence","59.05","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|BE","Without sequence","68.65","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|BE","Without sequence","74.18","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|BE","Without sequence","65.02","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|BE","Without sequence","64.71","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|BE","Without sequence","66.74","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|BE","Without sequence","64.43","",""
