"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","41.26","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","52.98","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|IE(SEM)","Without sequence","52.33","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|IE(SEM)","Without sequence","36.02","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|IE(SEM)","Without sequence","31.15","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|IE(SEM)","Without sequence","30.98","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|IE(SEM)","Without sequence","45.87","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|IE(SEM)","Without sequence","68.81","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|IE(SEM)","Without sequence","78.3","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IE(SEM)","Without sequence","82.76","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|IE(SEM)","Without sequence","97.91","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|IE(SEM)","Without sequence","139.58","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|IE(SEM)","Without sequence","125.58","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|IE(SEM)","Without sequence","118.72","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|IE(SEM)","Without sequence","106.43","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|IE(SEM)","Without sequence","100.0","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|IE(SEM)","Without sequence","115.0","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|IE(SEM)","Without sequence","125.0","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|IE(SEM)","Without sequence","102.53","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|IE(SEM)","Without sequence","85.61","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|IE(SEM)","Without sequence","74.12","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|IE(SEM)","Without sequence","65.97","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|IE(SEM)","Without sequence","40.7","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|IE(SEM)","Without sequence","30.0","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|IE(SEM)","Without sequence","28.39","",""
